inst#,actual,predicted,error,prediction
1,2:attack,2:attack,,1
2,2:attack,2:attack,,1
3,2:attack,2:attack,,1
4,2:attack,2:attack,,1
5,2:attack,2:attack,,1
6,2:attack,2:attack,,1
7,2:attack,2:attack,,1
8,2:attack,2:attack,,1
9,2:attack,2:attack,,1
10,2:attack,2:attack,,1
11,2:attack,2:attack,,1
12,2:attack,2:attack,,1
13,2:attack,2:attack,,1
14,2:attack,2:attack,,1
15,2:attack,2:attack,,1
16,2:attack,2:attack,,1
17,2:attack,2:attack,,1
18,2:attack,2:attack,,1
19,2:attack,2:attack,,1
20,2:attack,2:attack,,1
21,2:attack,2:attack,,1
22,2:attack,2:attack,,1
23,2:attack,2:attack,,1
24,2:attack,2:attack,,1
25,2:attack,2:attack,,1
26,2:attack,2:attack,,1
27,2:attack,2:attack,,1
28,2:attack,2:attack,,1
29,2:attack,2:attack,,1
30,2:attack,2:attack,,1
31,2:attack,2:attack,,1
32,2:attack,2:attack,,1
33,2:attack,2:attack,,1
34,2:attack,2:attack,,1
35,2:attack,2:attack,,1
36,2:attack,2:attack,,1
37,2:attack,2:attack,,1
38,2:attack,2:attack,,1
39,2:attack,2:attack,,1
40,2:attack,2:attack,,1
41,2:attack,2:attack,,1
42,2:attack,2:attack,,1
43,2:attack,2:attack,,1
44,2:attack,2:attack,,1
45,2:attack,2:attack,,1
46,2:attack,2:attack,,1
47,2:attack,2:attack,,1
48,2:attack,2:attack,,1
49,2:attack,2:attack,,1
50,2:attack,2:attack,,1
51,2:attack,2:attack,,1
52,2:attack,2:attack,,1
53,2:attack,2:attack,,1
54,2:attack,2:attack,,1
55,2:attack,2:attack,,1
56,2:attack,2:attack,,1
57,2:attack,2:attack,,1
58,2:attack,2:attack,,1
59,2:attack,2:attack,,1
60,2:attack,2:attack,,1
61,2:attack,2:attack,,1
62,2:attack,2:attack,,1
63,2:attack,2:attack,,1
64,2:attack,2:attack,,1
65,2:attack,2:attack,,1
66,2:attack,2:attack,,1
67,2:attack,2:attack,,1
68,2:attack,2:attack,,1
