inst#,actual,predicted,error,distribution,
1,1:normal.,1:normal.,,*0.991,0.009
2,1:normal.,1:normal.,,*0.993,0.007
3,1:normal.,1:normal.,,*1,0
4,1:normal.,1:normal.,,*1,0
5,1:normal.,1:normal.,,*0.991,0.009
6,1:normal.,1:normal.,,*0.991,0.009
7,1:normal.,1:normal.,,*0.991,0.009
8,1:normal.,1:normal.,,*0.995,0.005
9,1:normal.,1:normal.,,*0.99,0.01
10,1:normal.,1:normal.,,*0.991,0.009
11,1:normal.,1:normal.,,*0.99,0.01
12,1:normal.,1:normal.,,*0.991,0.009
13,1:normal.,1:normal.,,*0.993,0.007
14,1:normal.,1:normal.,,*1,0
15,1:normal.,1:normal.,,*0.99,0.01
16,1:normal.,1:normal.,,*0.99,0.01
17,1:normal.,1:normal.,,*0.996,0.004
18,1:normal.,1:normal.,,*0.991,0.009
19,1:normal.,1:normal.,,*1,0
20,1:normal.,1:normal.,,*1,0
21,1:normal.,1:normal.,,*0.991,0.009
22,1:normal.,1:normal.,,*1,0
23,1:normal.,1:normal.,,*0.999,0.001
24,1:normal.,1:normal.,,*1,0
25,1:normal.,1:normal.,,*0.991,0.009
26,1:normal.,1:normal.,,*0.99,0.01
27,1:normal.,1:normal.,,*1,0
28,1:normal.,1:normal.,,*1,0
29,1:normal.,1:normal.,,*0.999,0.001
30,1:normal.,1:normal.,,*0.996,0.004
31,1:normal.,1:normal.,,*1,0
32,1:normal.,1:normal.,,*0.991,0.009
33,1:normal.,1:normal.,,*0.992,0.008
34,1:normal.,1:normal.,,*0.992,0.008
35,1:normal.,1:normal.,,*0.99,0.01
36,1:normal.,1:normal.,,*1,0
37,1:normal.,1:normal.,,*0.991,0.009
38,1:normal.,1:normal.,,*0.999,0.001
39,1:normal.,1:normal.,,*1,0
40,1:normal.,1:normal.,,*0.99,0.01
41,1:normal.,1:normal.,,*1,0
42,1:normal.,1:normal.,,*1,0
43,1:normal.,1:normal.,,*1,0
44,1:normal.,1:normal.,,*1,0
45,1:normal.,1:normal.,,*1,0
46,1:normal.,1:normal.,,*1,0
47,1:normal.,1:normal.,,*0.992,0.008
48,1:normal.,1:normal.,,*0.991,0.009
49,1:normal.,1:normal.,,*1,0
50,1:normal.,1:normal.,,*0.991,0.009
51,1:normal.,1:normal.,,*0.991,0.009
52,1:normal.,1:normal.,,*1,0
53,1:normal.,1:normal.,,*0.993,0.007
54,1:normal.,1:normal.,,*0.99,0.01
55,1:normal.,1:normal.,,*0.993,0.007
56,1:normal.,1:normal.,,*0.991,0.009
57,1:normal.,1:normal.,,*1,0
58,1:normal.,1:normal.,,*1,0
59,1:normal.,1:normal.,,*1,0
60,1:normal.,1:normal.,,*1,0
61,1:normal.,1:normal.,,*0.991,0.009
62,1:normal.,1:normal.,,*1,0
63,1:normal.,1:normal.,,*0.992,0.008
64,1:normal.,1:normal.,,*0.99,0.01
65,1:normal.,1:normal.,,*1,0
66,1:normal.,1:normal.,,*1,0
67,1:normal.,1:normal.,,*1,0
68,1:normal.,1:normal.,,*0.991,0.009
69,1:normal.,1:normal.,,*0.991,0.009
70,1:normal.,1:normal.,,*0.991,0.009
71,1:normal.,1:normal.,,*1,0
72,1:normal.,1:normal.,,*0.992,0.008
73,1:normal.,1:normal.,,*0.992,0.008
74,1:normal.,1:normal.,,*0.991,0.009
75,1:normal.,1:normal.,,*1,0
76,1:normal.,1:normal.,,*0.991,0.009
77,1:normal.,1:normal.,,*0.99,0.01
78,1:normal.,1:normal.,,*1,0
79,1:normal.,1:normal.,,*1,0
80,1:normal.,1:normal.,,*0.99,0.01
81,1:normal.,1:normal.,,*0.991,0.009
82,1:normal.,1:normal.,,*0.991,0.009
83,1:normal.,1:normal.,,*0.991,0.009
84,1:normal.,1:normal.,,*0.994,0.006
85,1:normal.,1:normal.,,*1,0
86,1:normal.,1:normal.,,*0.997,0.003
87,1:normal.,1:normal.,,*0.99,0.01
88,1:normal.,1:normal.,,*1,0
89,1:normal.,1:normal.,,*0.99,0.01
90,1:normal.,1:normal.,,*1,0
91,1:normal.,1:normal.,,*0.994,0.006
92,1:normal.,1:normal.,,*0.992,0.008
93,1:normal.,1:normal.,,*0.99,0.01
94,1:normal.,1:normal.,,*0.99,0.01
95,1:normal.,1:normal.,,*0.991,0.009
96,1:normal.,1:normal.,,*1,0
97,1:normal.,1:normal.,,*0.989,0.011
98,1:normal.,1:normal.,,*0.992,0.008
99,1:normal.,1:normal.,,*0.997,0.003
100,1:normal.,1:normal.,,*1,0
101,1:normal.,1:normal.,,*1,0
102,1:normal.,1:normal.,,*1,0
103,1:normal.,1:normal.,,*1,0
104,1:normal.,1:normal.,,*0.993,0.007
105,1:normal.,1:normal.,,*1,0
106,1:normal.,1:normal.,,*0.992,0.008
107,1:normal.,1:normal.,,*0.992,0.008
108,1:normal.,1:normal.,,*0.997,0.003
109,1:normal.,1:normal.,,*1,0
110,1:normal.,1:normal.,,*0.99,0.01
111,1:normal.,1:normal.,,*1,0
112,1:normal.,1:normal.,,*0.997,0.003
113,1:normal.,1:normal.,,*1,0
114,1:normal.,1:normal.,,*1,0
115,1:normal.,1:normal.,,*0.991,0.009
116,1:normal.,1:normal.,,*0.99,0.01
117,1:normal.,1:normal.,,*1,0
118,1:normal.,1:normal.,,*0.99,0.01
119,1:normal.,1:normal.,,*0.99,0.01
120,1:normal.,1:normal.,,*0.991,0.009
121,1:normal.,1:normal.,,*0.989,0.011
122,1:normal.,1:normal.,,*0.989,0.011
123,1:normal.,1:normal.,,*0.99,0.01
124,1:normal.,1:normal.,,*1,0
125,1:normal.,1:normal.,,*1,0
126,1:normal.,1:normal.,,*0.994,0.006
127,1:normal.,1:normal.,,*0.993,0.007
128,1:normal.,1:normal.,,*0.991,0.009
129,1:normal.,1:normal.,,*0.991,0.009
130,1:normal.,1:normal.,,*0.995,0.005
131,1:normal.,1:normal.,,*1,0
